ApplNo,ProductNo,ExclusivityCode,ExclusivityEndDate,Notes,FileDate
204042,002,NPP,2027-12-18,,
204096,001,ODE*,2025-05-24,,
204096,002,ODE*,2025-05-24,,
204096,003,ODE*,2025-05-24,,
204114,001,I-895,2025-06-22,,
204114,001,I-908,2026-03-16,,
204114,001,ODE-182,2025-04-30,,
204114,001,ODE-183,2025-05-04,,
204114,001,ODE-428,2030-03-16,,
204114,002,I-895,2025-06-22,,
204114,002,I-908,2026-03-16,,
204114,002,ODE-182,2025-04-30,,
204114,002,ODE-183,2025-05-04,,
204114,002,ODE-428,2030-03-16,,
204114,003,I-895,2025-06-22,,
204114,003,I-908,2026-03-16,,
204114,003,ODE-182,2025-04-30,,
204114,003,ODE-183,2025-05-04,,
204114,003,ODE-428,2030-03-16,,
204168,001,M-304,2026-03-24,,
204168,002,M-304,2026-03-24,,
204168,003,M-304,2026-03-24,,
204168,004,M-304,2026-03-24,,
204275,001,NPP,2026-05-13,,
204275,003,NS,2026-05-13,,
204353,001,NPP,2027-12-18,,
204353,002,NPP,2027-12-18,,
204353,003,NPP,2027-12-18,,
204353,004,NPP,2027-12-18,,
204370,001,I-904,2025-12-16,,
204370,002,I-904,2025-12-16,,
204370,003,I-904,2025-12-16,,
204370,004,I-904,2025-12-16,,
204384,001,M-306,2027-06-21,,
204384,001,ODE-251,2026-08-09,,
204384,001,ODE-307,2027-05-27,,
204384,002,M-306,2027-06-21,,
204384,002,ODE*,2026-08-09,,
204384,002,ODE-307,2027-05-27,,
204410,001,M-187,2028-02-28,,
204441,001,ODE-178,2025-04-23,,
204441,002,ODE-178,2025-04-23,,
204441,003,ODE-178,2025-04-23,,
204441,004,ODE-178,2025-04-23,,
204441,005,ODE-178,2025-04-23,,
204447,001,M-232,2026-08-23,,
204447,002,M-232,2026-08-23,,
204447,003,M-232,2026-08-23,,
204447,004,M-232,2026-08-23,,
204508,001,NPP,2027-04-24,,
204629,001,I-922,2026-09-21,,
204629,001,M-82,2025-02-24,,
204629,001,NPP,2026-06-20,,
204629,002,NPP,2026-06-20,,
204630,001,M-303,2027-01-08,,
204630,002,M-303,2027-01-08,,
204671,001,ODE*,2026-08-28,,
204671,002,ODE*,2026-08-28,,
205053,001,ODE-355,2028-06-17,,
205109,001,NPP,2027-07-01,,
205422,001,I-913,2026-05-10,,
205422,001,M-14,2027-05-08,,
205422,001,M-315,2028-05-09,,
205422,002,I-913,2026-05-10,,
205422,002,M-14,2027-05-08,,
205422,002,M-315,2028-05-09,,
205422,003,I-913,2026-05-10,,
205422,003,M-14,2027-05-08,,
205422,003,M-315,2028-05-09,,
205422,004,I-913,2026-05-10,,
205422,004,M-14,2027-05-08,,
205422,004,M-315,2028-05-09,,
205422,005,I-913,2026-05-10,,
205422,005,M-14,2027-05-08,,
205422,005,M-315,2028-05-09,,
205422,006,I-913,2026-05-10,,
205422,006,M-14,2027-05-08,,
205422,006,M-315,2028-05-09,,
205435,001,NPP,2028-04-04,,
205436,001,NPP,2028-04-04,,
205437,001,M-299,2026-07-20,,
205437,001,NPP,2027-04-25,,
205437,001,ODE-248,2026-07-19,,
205437,002,M-299,2026-07-20,,
205437,002,NPP,2027-04-25,,
205437,002,ODE-248,2026-07-19,,
205437,003,M-299,2026-07-20,,
205437,003,NPP,2027-04-25,,
205437,003,ODE-248,2026-07-19,,
205551,001,M-294,2026-06-15,,
205552,001,M-14,2025-08-24,,
205552,001,NPP,2025-08-24,,
205552,001,ODE-152,2024-08-02,,
205552,001,ODE-405,2029-08-24,,
205552,002,M-14,2025-08-24,,
205552,002,NPP,2025-08-24,,
205552,002,ODE-405,2029-08-24,,
205596,001,ODE-355,2028-06-17,,
205625,003,M-290,2026-03-01,,
205649,001,NPP,2027-06-12,,
205649,002,NPP,2027-06-12,,
205649,003,NPP,2027-06-12,,
205649,004,NPP,2027-06-12,,
205649,005,NPP,2027-06-12,,
205677,001,ODE-330,2027-12-01,,
205739,001,NPP,2026-10-02,,
205739,002,NPP,2026-10-02,,
205739,003,NPP,2026-10-02,,
205739,004,NS,2026-10-02,,
205832,001,ODE-261,2026-09-06,,
205832,002,ODE-261,2026-09-06,,
205834,001,ODE*,2026-08-28,,
205834,002,ODE*,2026-08-28,,
205879,001,NPP,2027-12-18,,
205879,002,NPP,2027-12-18,,
205879,003,NPP,2027-12-18,,
205879,004,NPP,2027-12-18,,
206111,001,NPP,2026-06-20,,
206111,002,NPP,2026-06-20,,
206111,003,NPP,2026-06-20,,
206111,004,NPP,2026-06-20,,
206192,001,I-902,2025-10-28,,
206192,001,M-278,2025-07-28,,
206192,001,ODE-416,2029-10-28,,
206229,001,I-917,2026-06-29,,
206316,001,M-14,2026-10-18,,
206316,002,M-14,2026-10-18,,
206316,003,M-14,2026-10-18,,
206494,001,NCE,2020-02-25,,
206494,001,NPP,2025-12-20,,
206494,001,NPP,2027-01-26,,
206709,001,M-281,2025-07-14,,
206709,001,ODE-198,2025-08-20,,
206709,001,ODE-403,2029-07-14,,
206709,002,M-281,2025-07-14,,
206709,002,ODE-198,2025-08-20,,
206709,002,ODE-403,2029-07-14,,
206788,001,PC,2025-11-09,,
206788,002,PC,2025-11-09,,
206788,003,PC,2025-11-09,,
206788,004,PC,2025-11-09,,
206829,001,NPP,2025-04-21,,
206947,001,M-14,2027-04-03,,
206947,001,ODE-196,2025-08-15,,
206947,002,M-14,2027-04-03,,
206947,002,ODE-196,2025-08-15,,
206966,001,NCE,2025-07-24,,
207027,001,ODE*,2025-11-16,,
207027,002,ODE*,2025-11-16,,
207223,001,NPP,2025-07-14,,
207223,001,ODE-198,2025-08-20,,
207223,001,ODE-403,2029-07-14,,
207223,002,NPP,2025-07-14,,
207223,002,ODE-198,2025-08-20,,
207223,002,ODE-403,2029-07-14,,
207356,001,ODE-214,2025-09-28,,
207500,001,NCE,2020-03-06,,
207500,001,NPP,2026-12-08,,
207500,001,ODE-305,2022-03-06,,
207500,001,ODE-454,2030-12-08,,
207500,001,ODE-458,2030-12-08,,
207500,001,ODE-90,2022-03-06,,
207500,002,NCE,2020-03-06,,
207500,002,NPP,2026-12-08,,
207500,002,ODE*,2022-03-06,,
207500,002,ODE-454,2030-12-08,,
207500,002,ODE-458,2030-12-08,,
207501,001,NCE,2020-03-06,,
207501,001,NPP,2026-12-08,,
207501,001,ODE-305,2022-03-06,,
207501,001,ODE-453,2030-12-08,,
207501,001,ODE-459,2030-12-08,,
207501,001,ODE-90,2022-03-06,,
207648,001,NPP,2025-03-22,,
207648,002,NPP,2025-03-22,,
207648,003,NPP,2025-03-22,,
207648,004,NPP,2025-03-22,,
207695,001,D-191,2026-04-03,,
207793,001,I-932,2027-02-13,,
207793,001,ODE-463,2031-02-13,,
207924,001,I-890,2025-06-13,,
207924,001,I-891,2025-05-10,,
207924,002,I-890,2025-06-13,,
207924,002,I-891,2025-05-10,,
207924,003,I-890,2025-06-13,,
207924,003,I-891,2025-05-10,,
207925,001,M-14,2028-05-22,,
207925,001,ODE-199,2025-08-15,,
207925,001,ODE-236,2026-04-29,,
207925,001,ODE-338,2027-12-21,,
207925,002,M-14,2028-05-22,,
207925,002,ODE-199,2025-08-15,,
207925,002,ODE-236,2026-04-29,,
207925,002,ODE-338,2027-12-21,,
207925,003,M-14,2028-05-22,,
207925,003,ODE-199,2025-08-15,,
207925,003,ODE-236,2026-04-29,,
207925,003,ODE-338,2027-12-21,,
207925,004,M-14,2028-05-22,,
207925,004,NPP,2026-05-03,,
207925,004,ODE-435,2030-05-03,,
207925,005,M-14,2028-05-22,,
207925,005,NPP,2026-05-03,,
207925,005,ODE-435,2030-05-03,,
207981,001,ODE-229,2026-02-22,,
207981,002,ODE-229,2026-02-22,,
207987,001,ODE-192,2025-06-21,,
207987,002,ODE-192,2025-06-21,,
208026,001,M-295,2026-06-20,,
208026,002,M-295,2026-06-20,,
208030,001,ODE-417,2028-04-30,,
208030,001,ODE-418,2028-04-30,,
208030,001,ODE-419,2028-04-30,,
208030,002,ODE-417,2028-04-30,,
208030,002,ODE-418,2028-04-30,,
208030,002,ODE-419,2028-04-30,,
208065,001,I-941,2027-02-16,,
208065,001,I-952,2027-09-25,,
208065,001,ODE-176,2025-04-18,,
208065,001,ODE-337,2027-12-18,,
208065,002,I-941,2027-02-16,,
208065,002,I-952,2027-09-25,,
208065,002,ODE-176,2025-04-18,,
208065,002,ODE-337,2027-12-18,,
208078,001,NPP,2025-09-29,,
208078,001,ODE-223,2025-11-28,,
208081,001,D-194,2027-10-04,,
208088,001,NP,2025-03-28,,
208215,002,ODE-457,2029-01-07,,
208232,001,ODE-474,2027-06-26,,
208288,001,M-292,2026-01-20,,
208328,001,PC,2025-07-15,,
208328,002,PC,2025-07-15,,
208341,001,M-277,2025-04-27,,
208341,001,ODE-293,2027-03-19,,
208341,002,M-277,2025-04-27,,
208341,002,ODE-293,2027-03-19,,
208390,001,PC,2025-10-28,,
208434,001,I-947,2027-04-18,,
208434,001,ODE-477,2031-04-18,,
208447,001,ODE-277,2026-10-23,,
208447,001,ODE-295,2027-04-29,,
208452,001,PC,2025-11-23,,
208464,001,NPP,2025-10-17,,
208531,001,PC,2025-10-28,,
208558,001,I-885,2025-03-11,,
208558,001,I-914,2026-05-31,,
208558,001,ODE-226,2025-12-19,,
208558,001,ODE-283,2026-12-27,,
208558,001,ODE-306,2027-05-08,,
208558,002,I-885,2025-03-11,,
208558,002,I-914,2026-05-31,,
208558,002,ODE-226,2025-12-19,,
208558,002,ODE-283,2026-12-27,,
208558,002,ODE-306,2027-05-08,,
208573,001,ODE-185,2025-06-08,,
208573,001,ODE-211,2025-11-21,,
208573,001,ODE-239,2026-05-15,,
208573,002,ODE-185,2025-06-08,,
208573,002,ODE-211,2025-11-21,,
208573,002,ODE-239,2026-05-15,,
208573,003,ODE-185,2025-06-08,,
208573,003,ODE-211,2025-11-21,,
208573,003,ODE-239,2026-05-15,,
208610,001,NCE,2022-06-19,,
208611,001,NCE,2022-06-19,,
208623,001,ODE-205,2025-08-10,,
208627,001,ODE-200,2025-07-13,,
208658,001,M-296,2026-06-20,,
208658,002,M-296,2026-06-20,,
208658,003,M-296,2026-06-20,,
208658,004,M-296,2026-06-20,,
208684,001,ODE-252,2026-06-07,,
208684,002,ODE-252,2026-06-07,,
208684,003,ODE-252,2026-06-07,,
208684,004,ODE-252,2026-06-07,,
208685,001,ODE-252,2026-06-07,,
208692,001,ODE-227,2026-01-14,,
208692,001,ODE-375,2028-09-17,,
208692,002,ODE-227,2026-01-14,,
208692,002,ODE-375,2028-09-17,,
208692,003,ODE-227,2026-01-14,,
208692,003,ODE-375,2028-09-17,,
208700,001,NPP,2027-04-23,,
208700,001,ODE-166,2025-01-26,,
208700,001,ODE-479,2031-04-23,,
208711,001,ODE-228,2026-02-13,,
208712,001,NCE,2027-02-28,,
208712,001,ODE-397,2029-02-28,,
208742,001,NPP,2028-04-07,,
208743,001,I-907,2025-12-19,,
208772,001,ODE-300,2027-05-22,,
208772,002,ODE-300,2027-05-22,,
208772,003,ODE-300,2027-05-22,,
208798,001,NPP,2024-07-09,,
208798,004,NPP,2024-07-09,,
208798,007,NS,2024-07-09,,
208799,001,M-61,2024-07-09,,
208799,004,M-61,2024-07-09,,
208969,001,NP,2026-03-07,,
209022,001,I-940,2027-03-15,,
209092,001,I-950,2027-09-17,,
209115,001,ODE-168,2025-04-06,,
209115,002,ODE-168,2025-04-06,,
209115,003,ODE-168,2025-04-06,,
209210,001,NPP,2024-07-22,,
209241,001,I-925,2026-08-18,,
209241,001,ODE-440,2030-08-18,,
209241,002,I-925,2026-08-18,,
209241,002,ODE-440,2030-08-18,,
209241,003,I-925,2026-08-18,,
209241,003,ODE-440,2030-08-18,,
209299,001,ODE-174,2025-04-17,,
209299,002,ODE-174,2025-04-17,,
209363,001,NCE,2022-09-15,,
209363,001,NPP,2025-01-26,,
209394,001,I-967,2028-06-10,,
209394,001,ODE-232,2026-04-30,,
209394,001,ODE-233,2026-04-30,,
209394,001,ODE-372,2028-06-10,,
209401,001,ODE-350,2028-03-30,,
209445,001,NCE,2024-11-14,,
209471,001,NP,2026-03-01,,
209510,001,NCE,2025-02-26,,
209510,002,NCE,2025-02-26,,
209566,001,ODE-207,2025-09-14,,
209569,001,ODE-282,2026-12-20,,
209607,001,ODE-204,2025-07-30,,
209637,001,I-961,2028-01-28,,
209637,002,I-961,2028-01-28,,
209637,003,D-185,2025-03-28,,
209637,003,I-961,2028-01-28,,
209637,004,I-961,2028-01-28,,
209776,001,NCE,2022-08-29,,
209801,001,PC,2025-11-25,,
209801,002,PC,2025-11-25,,
209801,003,PC,2025-11-25,,
209801,004,PC,2025-11-25,,
209801,005,PC,2025-11-25,,
209801,006,PC,2025-11-25,,
209816,001,NCE,2023-10-02,,
209817,001,NCE,2023-10-02,,
209819,001,M-314,2028-02-21,,
209819,002,M-314,2028-02-21,,
209884,001,M-274,2025-03-01,,
209884,002,M-274,2025-03-01,,
209884,003,M-274,2025-03-01,,
209899,001,M-309,2027-08-30,,
209899,001,NCE,2025-03-25,,
209899,002,M-309,2027-08-30,,
209899,002,NCE,2025-03-25,,
209899,003,M-309,2027-08-30,,
209899,003,NCE,2025-03-25,,
209935,001,I-951,2027-09-17,,
209939,001,D-189,2026-08-02,,
209939,001,I-916,2026-06-05,,
209939,001,NPP,2027-08-30,,
209939,001,ODE-423,2030-06-05,,
209939,001,ODE-495,2031-08-30,,
209939,001,ODE-497,2031-08-30,,
209939,002,D-189,2026-08-02,,
209939,002,I-916,2026-06-05,,
209939,002,NPP,2027-08-30,,
209939,002,ODE-423,2030-06-05,,
209939,002,ODE-495,2031-08-30,,
209939,002,ODE-497,2031-08-30,,
209940,001,D-189,2026-08-02,,
209940,001,I-916,2026-06-05,,
209940,001,NPP,2027-08-30,,
209940,001,ODE-423,2030-06-05,,
209940,001,ODE-495,2031-08-30,,
209940,001,ODE-497,2031-08-30,,
209940,002,D-189,2026-08-02,,
209940,002,I-916,2026-06-05,,
209940,002,NPP,2027-08-30,,
209940,002,ODE-423,2030-06-05,,
209940,002,ODE-495,2031-08-30,,
209940,002,ODE-497,2031-08-30,,
209964,001,ODE-234,2026-04-22,,
209988,001,NP,2025-10-07,,
210115,001,ODE-269,2025-05-24,,
210115,001,ODE-360,2028-07-16,,
210115,002,ODE-269,2025-05-24,,
210115,002,ODE-360,2028-07-16,,
210136,001,NP,2026-05-23,,
210136,002,NP,2026-05-23,,
210136,003,NP,2026-05-23,,
210136,004,NP,2026-05-23,,
210136,005,NP,2026-05-23,,
210136,006,NP,2026-05-23,,
210136,007,NP,2026-05-23,,
210238,001,ODE-246,2026-06-26,,
210251,001,I-942,2027-02-23,,
210251,001,M-305,2027-04-24,,
210251,001,ODE-256,2026-06-18,,
210251,001,ODE-468,2031-02-23,,
210251,002,I-942,2027-02-23,,
210251,002,ODE-378,2028-10-07,,
210251,002,ODE-468,2031-02-23,,
210259,001,I-960,2028-01-16,,
210259,001,ODE-274,2026-11-21,,
210303,001,NCE,2023-06-25,,
210365,001,M-270,2026-10-20,,
210365,001,ODE-216,2025-09-28,,
210365,001,ODE-326,2027-07-31,,
210365,001,ODE-332,2027-07-31,,
210491,001,ODE-173,2025-02-12,,
210491,001,ODE-247,2026-06-21,,
210491,001,ODE-335,2027-12-21,,
210491,002,ODE-173,2025-02-12,,
210491,002,ODE-247,2026-06-21,,
210491,002,ODE-335,2027-12-21,,
210496,001,I-928,2026-10-11,,
210496,001,I-957,2027-12-20,,
210496,001,ODE-194,2025-06-27,,
210496,001,ODE-445,2030-10-11,,
210496,002,I-928,2026-10-11,,
210496,002,I-957,2027-12-20,,
210496,002,ODE-194,2025-06-27,,
210496,002,ODE-445,2030-10-11,,
210498,001,I-928,2026-10-11,,
210498,001,ODE-194,2025-06-27,,
210563,001,M-14,2025-08-24,,
210563,001,NPP,2025-08-24,,
210563,001,ODE-405,2029-08-24,,
210563,002,M-14,2025-08-24,,
210563,002,NPP,2025-08-24,,
210563,002,ODE-405,2029-08-24,,
210563,003,M-14,2025-08-24,,
210563,003,NPP,2025-08-24,,
210563,003,ODE-405,2029-08-24,,
210563,004,M-14,2025-08-24,,
210563,004,NPP,2025-08-24,,
210563,004,ODE-405,2029-08-24,,
210589,001,ODE-202,2025-07-27,,
210589,002,ODE-202,2025-07-27,,
210656,001,ODE-224,2025-11-21,,
210656,002,ODE-224,2025-11-21,,
210730,001,NCE,2025-10-30,,
210730,002,NCE,2025-10-30,,
210730,003,NCE,2025-10-30,,
210795,001,ODE-201,2025-07-20,,
210797,001,ODE-270,2026-10-08,,
210806,001,NPP,2025-01-27,,
210807,001,NPP,2025-01-27,,
210828,001,ODE-383,2026-08-21,,
210828,001,W,2026-08-21,,
210854,001,M-187,2027-12-19,,
210854,002,M-187,2027-12-19,,
210854,003,M-187,2027-12-19,,
210861,001,ODE-215,2025-11-26,,
210861,001,ODE-220,2025-11-26,,
210861,001,ODE-221,2025-11-26,,
210861,002,ODE-215,2025-11-26,,
210861,002,ODE-220,2025-11-26,,
210861,002,ODE-221,2025-11-26,,
210867,001,NPP,2028-02-07,,
210867,001,ODE-193,2025-06-13,,
210868,001,ODE-217,2025-11-02,,
210868,001,ODE-218,2025-11-02,,
210868,001,ODE-219,2025-11-02,,
210868,001,ODE-349,2028-03-03,,
210868,002,ODE-217,2025-11-02,,
210868,002,ODE-218,2025-11-02,,
210868,002,ODE-219,2025-11-02,,
210868,002,ODE-349,2028-03-03,,
210910,001,NCE,2023-11-16,,
210922,001,M-270,2026-01-13,,
210922,001,ODE-197,2025-08-10,,
211109,001,NCE,2023-08-27,,
211109,002,NCE,2023-08-27,,
211150,001,NPP,2027-06-21,,
211150,001,ODE-255,2026-08-14,,
211150,001,ODE-331,2027-10-13,,
